politica,paso,accion,escenario,latencia,perdida,bw,recompensa
IA (PPO),1,1,normal,0.2,0.0,964.3,1.3851200000000001
IA (PPO),2,1,normal,0.4,0.0,999.0,1.3984
IA (PPO),3,1,normal,0.5,0.0,999.8,1.39842
IA (PPO),4,1,normal,0.5,0.0,998.3,1.39782
IA (PPO),5,1,normal,0.3,0.0,966.5,1.3857
IA (PPO),6,1,normal,0.3,0.0,995.7,1.39738
IA (PPO),7,1,normal,0.4,0.0,975.2,1.3888800000000001
IA (PPO),8,1,normal,0.4,0.0,991.8,1.39552
IA (PPO),9,1,normal,0.1,0.0,973.7,1.38918
IA (PPO),10,1,normal,0.2,0.0,975.6,1.38964
IA (PPO),11,1,normal,0.4,0.0,970.8,1.38712
IA (PPO),12,1,normal,0.3,0.0,956.5,1.3817
IA (PPO),13,1,normal,0.2,0.0,996.4,1.39796
IA (PPO),14,1,normal,0.4,0.0,965.9,1.38516
IA (PPO),15,1,normal,0.3,0.0,997.6,1.39814
IA (PPO),16,1,normal,0.3,0.0,967.0,1.3859
IA (PPO),17,1,normal,0.3,0.0,996.0,1.3975
IA (PPO),18,1,normal,0.3,0.0,987.9,1.39426
IA (PPO),19,1,normal,0.1,0.0,980.8,1.39202
IA (PPO),20,1,normal,0.2,0.0,951.3,1.37992
IA (PPO),21,1,normal,0.2,0.0,950.4,1.3795600000000001
IA (PPO),22,1,normal,0.3,0.0,954.8,1.38102
IA (PPO),23,1,normal,0.3,0.0,953.5,1.3805
IA (PPO),24,1,normal,0.2,0.0,993.5,1.3968
IA (PPO),25,1,normal,0.4,0.0,970.9,1.3871600000000002
IA (PPO),26,1,normal,0.2,0.0,986.0,1.3938000000000001
IA (PPO),27,1,normal,0.2,0.0,979.2,1.39108
IA (PPO),28,1,normal,0.4,0.0,966.6,1.38544
IA (PPO),29,1,normal,0.1,0.0,956.6,1.3823400000000001
IA (PPO),30,1,normal,0.5,0.0,966.6,1.38514
IA (PPO),31,1,normal,0.5,0.0,998.7,1.39798
IA (PPO),32,1,normal,0.2,0.0,995.7,1.39768
IA (PPO),33,1,normal,0.4,0.0,995.1,1.39684
IA (PPO),34,1,normal,0.5,0.0,997.3,1.3974199999999999
IA (PPO),35,1,normal,0.2,0.0,967.0,1.3862
IA (PPO),36,1,normal,0.1,0.0,988.1,1.39494
IA (PPO),37,1,normal,0.1,0.0,969.4,1.38746
IA (PPO),38,1,normal,0.3,0.0,971.4,1.38766
IA (PPO),39,1,normal,0.4,0.0,988.7,1.39428
IA (PPO),40,1,normal,0.3,0.0,990.1,1.39514
IA (PPO),41,1,normal,0.3,0.0,962.3,1.38402
IA (PPO),42,1,normal,0.4,0.0,956.5,1.3814
IA (PPO),43,1,normal,0.2,0.0,967.1,1.38624
IA (PPO),44,1,normal,0.2,0.0,968.2,1.3866800000000001
IA (PPO),45,1,normal,0.2,0.0,959.4,1.38316
IA (PPO),46,1,normal,0.2,0.0,980.4,1.3915600000000001
IA (PPO),47,1,normal,0.1,0.0,983.8,1.39322
IA (PPO),48,1,normal,0.2,0.0,992.3,1.39632
IA (PPO),49,1,normal,0.4,0.0,977.7,1.38988
IA (PPO),50,1,normal,0.2,0.0,962.5,1.3844
IA (PPO),51,1,normal,0.2,0.0,959.5,1.3832
IA (PPO),52,1,normal,0.3,0.0,979.9,1.39106
IA (PPO),53,1,normal,0.5,0.0,972.7,1.38758
IA (PPO),54,1,congestion_3,0.3,0.0,9.9,1.00306
IA (PPO),55,1,congestion_3,0.4,0.0,9.5,1.0026
IA (PPO),56,1,congestion_3,0.3,0.0,9.4,1.00286
IA (PPO),57,1,congestion_3,0.1,0.0,9.9,1.00366
IA (PPO),58,1,congestion_3,0.4,0.0,9.3,1.00252
IA (PPO),59,1,congestion_3,0.3,0.0,9.5,1.0029
IA (PPO),60,1,congestion_3,0.4,0.0,9.8,1.00272
IA (PPO),61,1,congestion_3,0.3,0.0,9.8,1.00302
IA (PPO),62,1,congestion_3,0.3,0.0,9.4,1.00286
IA (PPO),63,1,congestion_3,0.3,0.0,9.5,1.0029
IA (PPO),64,1,congestion_3,0.3,0.0,9.2,1.00278
IA (PPO),65,1,congestion_3,0.4,0.0,9.2,1.00248
IA (PPO),66,1,congestion_3,0.5,0.0,9.5,1.0023
IA (PPO),67,1,congestion_3,0.5,0.0,9.8,1.00242
IA (PPO),68,1,congestion_3,0.3,0.0,9.9,1.00306
IA (PPO),69,1,congestion_3,0.2,0.0,9.3,1.00312
IA (PPO),70,1,congestion_3,0.4,0.0,9.6,1.00264
IA (PPO),71,1,congestion_3,0.2,0.0,9.8,1.00332
IA (PPO),72,1,congestion_3,0.2,0.0,9.5,1.0032
IA (PPO),73,1,congestion_3,0.5,0.0,9.5,1.0023
IA (PPO),74,1,congestion_3,0.5,0.0,9.9,1.00246
IA (PPO),75,1,congestion_3,0.4,0.0,9.4,1.00256
IA (PPO),76,1,congestion_3,0.4,0.0,9.4,1.00256
IA (PPO),77,1,congestion_3,0.5,0.0,9.1,1.00214
IA (PPO),78,1,congestion_3,0.3,0.0,9.0,1.0027
IA (PPO),79,1,congestion_3,0.1,0.0,9.8,1.00362
IA (PPO),80,1,congestion_3,0.2,0.0,9.9,1.00336
IA (PPO),81,1,congestion_3,0.3,0.0,9.1,1.00274
IA (PPO),82,1,congestion_3,0.2,0.0,9.7,1.00328
IA (PPO),83,1,congestion_3,0.4,0.0,9.4,1.00256
IA (PPO),84,1,congestion_3,0.1,0.0,9.3,1.00342
IA (PPO),85,1,congestion_3,0.4,0.0,9.4,1.00256
IA (PPO),86,1,congestion_3,0.3,0.0,9.6,1.00294
IA (PPO),87,1,congestion_3,0.4,0.0,9.8,1.00272
IA (PPO),88,1,congestion_3,0.1,0.0,9.3,1.00342
IA (PPO),89,1,congestion_3,0.4,0.0,9.8,1.00272
IA (PPO),90,1,congestion_3,0.2,0.0,9.9,1.00336
IA (PPO),91,1,congestion_3,0.4,0.0,9.8,1.00272
IA (PPO),92,1,congestion_3,0.4,0.0,9.8,1.00272
IA (PPO),93,1,congestion_3,0.4,0.0,9.7,1.00268
IA (PPO),94,1,congestion_3,0.3,0.0,9.7,1.00298
IA (PPO),95,1,congestion_3,0.4,0.0,9.9,1.00276
IA (PPO),96,1,congestion_3,0.4,0.0,9.1,1.00244
IA (PPO),97,1,congestion_3,0.2,0.0,9.2,1.00308
IA (PPO),98,1,congestion_3,0.3,0.0,9.5,1.0029
IA (PPO),99,1,congestion_3,0.2,0.0,9.7,1.00328
IA (PPO),100,1,congestion_3,0.4,0.0,9.6,1.00264
IA (PPO),101,1,congestion_3,0.3,0.0,9.6,1.00294
IA (PPO),102,1,congestion_3,0.4,0.0,9.1,1.00244
IA (PPO),103,1,congestion_3,0.5,0.0,9.5,1.0023
IA (PPO),104,1,congestion_3,0.1,0.0,9.4,1.00346
IA (PPO),105,1,congestion_3,0.3,0.0,9.2,1.00278
IA (PPO),106,1,congestion_3,0.4,0.0,9.1,1.00244
IA (PPO),107,1,congestion_3,0.2,0.0,9.4,1.00316
IA (PPO),108,1,congestion_3,0.5,0.0,9.4,1.00226
IA (PPO),109,1,congestion_3,0.1,0.0,9.9,1.00366
IA (PPO),110,1,congestion_3,0.2,0.0,9.6,1.00324
IA (PPO),111,1,congestion_3,0.4,0.0,9.7,1.00268
IA (PPO),112,1,congestion_3,0.3,0.0,9.7,1.00298
IA (PPO),113,1,latencia_2,0.2,0.0,962.7,1.38448
IA (PPO),114,1,latencia_2,0.4,0.0,958.2,1.38208
IA (PPO),115,1,latencia_2,0.3,0.0,966.9,1.38586
IA (PPO),116,1,latencia_2,0.3,0.0,983.9,1.39266
IA (PPO),117,1,latencia_2,0.3,0.0,961.0,1.3835
IA (PPO),118,1,latencia_2,0.4,0.0,976.9,1.38956
IA (PPO),119,1,latencia_2,0.3,0.0,979.6,1.39094
IA (PPO),120,1,latencia_2,0.2,0.0,977.8,1.39052
IA (PPO),121,1,latencia_2,0.3,0.0,958.0,1.3823
